reference_id,image_path,bbox_x,bbox_y,bbox_width,bbox_height,pedagogical_class,class_id,embedding_path,metadata,annotator_id,validation_status
REF_001,./reference_frames/lecture2/frame_1001.png,56,314,460,126,slide_title,1,./embeddings/ref_001_embed.npy,"Font: Arial, Size: 40pt",A2,validated
REF_002,./reference_frames/lecture3/frame_1002.png,61,172,240,98,diagram,2,./embeddings/ref_002_embed.npy,Type: Flowchart,A3,validated
REF_003,./reference_frames/lecture4/frame_1003.png,110,324,393,137,formula,3,./embeddings/ref_003_embed.npy,Complexity: Medium,A1,validated
REF_004,./reference_frames/lecture5/frame_1004.png,328,308,563,324,table,4,./embeddings/ref_004_embed.npy,"Rows: 5, Columns: 4",A2,validated
REF_005,./reference_frames/lecture6/frame_1005.png,172,118,368,371,figure,5,./embeddings/ref_005_embed.npy,Type: Graph,A3,validated
REF_006,./reference_frames/lecture7/frame_1006.png,349,200,391,111,handwritten_text,6,./embeddings/ref_006_embed.npy,Ink color: Black,A1,validated
REF_007,./reference_frames/lecture8/frame_1007.png,59,308,212,283,text_block,7,./embeddings/ref_007_embed.npy,Alignment: Justified,A2,validated
REF_008,./reference_frames/lecture9/frame_1008.png,90,185,412,154,code_block,8,./embeddings/ref_008_embed.npy,Language: Python,A3,validated
REF_009,./reference_frames/lecture10/frame_1009.png,199,323,368,116,slide_title,1,./embeddings/ref_009_embed.npy,"Font: Arial, Size: 40pt",A1,validated
REF_010,./reference_frames/lecture11/frame_1010.png,266,318,291,128,diagram,2,./embeddings/ref_010_embed.npy,Type: Flowchart,A2,validated
REF_011,./reference_frames/lecture12/frame_1011.png,199,75,202,382,formula,3,./embeddings/ref_011_embed.npy,Complexity: Medium,A3,validated
REF_012,./reference_frames/lecture1/frame_1012.png,248,55,268,183,table,4,./embeddings/ref_012_embed.npy,"Rows: 5, Columns: 4",A1,validated
REF_013,./reference_frames/lecture2/frame_1013.png,109,101,572,241,figure,5,./embeddings/ref_013_embed.npy,Type: Graph,A2,validated
REF_014,./reference_frames/lecture3/frame_1014.png,243,316,375,150,handwritten_text,6,./embeddings/ref_014_embed.npy,Ink color: Black,A3,validated
REF_015,./reference_frames/lecture4/frame_1015.png,368,103,388,126,text_block,7,./embeddings/ref_015_embed.npy,Alignment: Justified,A1,validated
REF_016,./reference_frames/lecture5/frame_1016.png,91,43,688,230,code_block,8,./embeddings/ref_016_embed.npy,Language: Python,A2,validated
REF_017,./reference_frames/lecture6/frame_1017.png,82,253,322,261,slide_title,1,./embeddings/ref_017_embed.npy,"Font: Arial, Size: 40pt",A3,validated
REF_018,./reference_frames/lecture7/frame_1018.png,105,142,569,156,diagram,2,./embeddings/ref_018_embed.npy,Type: Flowchart,A1,validated
REF_019,./reference_frames/lecture8/frame_1019.png,287,106,497,178,formula,3,./embeddings/ref_019_embed.npy,Complexity: Medium,A2,validated
REF_020,./reference_frames/lecture9/frame_1020.png,219,302,468,239,table,4,./embeddings/ref_020_embed.npy,"Rows: 5, Columns: 4",A3,validated
